Animal,Breed ,Products,Production,Symptom1,Symptom2,Symptom3,Disease,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,shortness of breath,sweats,chills,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,crackling sound,lameness,depression,blackleg,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,sweats,fatigue,chills,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,sores on tongue,lameness,loss of appetite,foot and mouth,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Muscle weakness,Cold ears,Tremors,Hypocalcemia,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Muscle weakness,dry muzzle,Tremors,Hypocalcemia,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,low milk production,Clot in milk,Hard udder,Mastitis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Cow,Sahiwal Breed,Milk,5.04 to 9.99 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,shortness of breath,sweats,chills,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,crackling sound,lameness,depression,blackleg,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,sweats,fatigue,chills,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
,,,,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Muscle weakness,Cold ears,Tremors,Hypocalcemia,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Muscle weakness,dry muzzle,Tremors,Hypocalcemia,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,low milk production,Clot in milk,Hard udder,Mastitis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Cow,Cross Bred,Milk,7.40 to 10.28 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
,,,,,,sores on tongue,lameness,loss of appetite,foot and mouth
Buffalo,Murrah,Milk,8-16 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Murrah,Milk,8-16 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Buffalo,Murrah,Milk,8-16 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Murrah,Milk,8-16 liters per day,shortness of breath,sweats,chills,anthrax,,
,,,,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Murrah,Milk,8-16 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Buffalo,Murrah,Milk,8-16 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,crackling sound,lameness,depression,blackleg,,
Buffalo,Murrah,Milk,8-16 liters per day,sweats,fatigue,chills,anthrax,,
Buffalo,Murrah,Milk,8-16 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Buffalo,Murrah,Milk,8-16 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Buffalo,Murrah,Milk,8-16 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Buffalo,Murrah,Milk,8-16 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Buffalo,Murrah,Milk,8-16 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
,,,,swelling in neck,chest discomfort,shortness of breath,anthrax,,
,,,,swelling in limb,difficulty walking,depression,blackleg,,
Buffalo,Murrah,Milk,8-16 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Buffalo,Murrah,Milk,8-16 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,High fever,Swelling in the throat,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Murrah,Milk,8-16 liters per day,High fever,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Murrah,Milk,8-16 liters per day,frothy discharge from nose,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Murrah,Milk,8-16 liters per day,High fever,frothy discharge from nose,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Murrah,Milk,8-16 liters per day,High fever,frothy discharge from mouth,swelling in neck,Hemorrhagic Septicemia,,
Buffalo,Murrah,Milk,8-16 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Buffalo,Murrah,Milk,8-16 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Buffalo,Murrah,Milk,8-16 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Murrah,Milk,8-16 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
,,,,,,,,,
,,,,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,scabs,fever,red lesions around udder,Buffalo Pox,,
Buffalo,Murrah,Milk,8-16 liters per day,discomfort,fever,red lesions around muzzle,Buffalo Pox,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,scabs,red lesions around teats,discomfort,Buffalo Pox,,
Buffalo,Murrah,Milk,8-16 liters per day,fever,discomfort,red lesions around udder,Buffalo Pox,,
Buffalo,Murrah,Milk,8-16 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,High fever,Swollen lymph nodes,Weight loss,Theileriosis,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
,,,,,,,,,
,,,,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Murrah,Milk,8-16 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
,,,,,,,,,
,,,,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,,,,,,
Buffalo,Murrah,Milk,8-16 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Murrah,Milk,8-16 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Murrah,Milk,8-16 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
,,,,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,shortness of breath,sweats,chills,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
,,,,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
,,,,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,crackling sound,lameness,depression,blackleg,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,sweats,fatigue,chills,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
,,,,sweats,fatigue,swelling in abdomen,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
,,,,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,,,,,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,High fever,Swelling in the throat,Difficulty breathing,Hemorrhagic Septicemia,,
,,,,High fever,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,frothy discharge from nose,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
,,,,High fever,frothy discharge from nose,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,High fever,frothy discharge from mouth,swelling in neck,Hemorrhagic Septicemia,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,scabs,fever,red lesions around udder,Buffalo Pox,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,discomfort,fever,red lesions around muzzle,Buffalo Pox,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,scabs,red lesions around teats,discomfort,Buffalo Pox,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,fever,discomfort,red lesions around udder,Buffalo Pox,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,High fever,Swollen lymph nodes,Weight loss,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Buffalo,Surti,Milk,5-8 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Surti,Milk,5-8 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Surti,Milk,5-8 liters per day,shortness of breath,sweats,chills,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,crackling sound,lameness,depression,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,sweats,fatigue,chills,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,Swelling in the throat,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,frothy discharge from nose,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,frothy discharge from nose,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,frothy discharge from mouth,swelling in neck,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Buffalo,Surti,Milk,5-8 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Buffalo,Surti,Milk,5-8 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Surti,Milk,5-8 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Surti,Milk,5-8 liters per day,scabs,fever,red lesions around udder,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,discomfort,fever,red lesions around muzzle,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,scabs,red lesions around teats,discomfort,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,fever,discomfort,red lesions around udder,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,Swollen lymph nodes,Weight loss,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Surti,Milk,5-8 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Buffalo,Mehsana,Milk,6-10 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Mehsana,Milk,6-10 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Buffalo,Mehsana,Milk,6-10 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Mehsana,Milk,6-10 liters per day,shortness of breath,sweats,chills,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
